sample_id,source,reference,hypothesis,sent_bleu,errors,ref_len,hyp_len
0,now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,اب یسوع مسیح کی پیدایش اس طرح ہوئی کہ جب اس کی ماں مریم کی منگنی یوسف کے ساتھ ہو گئی تو ان کے اکٹھّے ہونے سے پہلے وہ روح القدس کی قدرت سے حاملہ پائی گئی .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.95,Semantic Mismatch,38,22
1,and knew her not till she had brought forth her firstborn son and he called his name jesus,اور اس کو نہ جانا جب تک اس کے بیٹا نہ ہوا اور اس کا نام یسوع رکھّا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.43,Semantic Mismatch,19,22
2,and was there until the death of herod that it might be fulfilled which was spoken of the lord by the prophet saying out of egypt have i called my son,اور ہیرودیس کے مرنے تک وہیں رہا تاکہ جو خداوند نے نبی کی معرفت کہا تھا وہ پورا ہو کہ مصر میں سے میں نے اپنے بیٹے کو بلایا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.45,Minor Errors,30,22
3,and the same john had his raiment of camel s hair and a leathern girdle about his loins and his meat was locusts and wild honey,یہ یوحنّا اونٹ کے بالوں کی پوشاک پہنے اور چمڑے کا پٹکا اپنی کمر سے باندھے رہتا تھا اور اس کی خوراک ٹڈیاں اور جنگلی شہد تھا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.21,Semantic Mismatch,28,22
4,then cometh jesus from galilee to jordan unto john to be baptized of him,اس وقت یسوع گلیل سے یردن کے کنارے یوحنّا کے پاس اس سے بپتسمہ لینے آیا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.7,Minor Errors,17,22
5,and jesus answering said unto him suffer it to be so now for thus it becometh us to fulfil all righteousness then he suffered him,یسوع نے جواب میں اس سے کہا اب تو ہونے ہی دے کیونکہ ہمیں اسی طرح ساری راستبازی پوری کرنا مناسب ہے . اس پر اس نے ہونے دیا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,5.82,Minor Errors,30,22
6,then was jesus led up of the spirit into the wilderness to be tempted of the devil,اس وقت روح یسوع کو جنگل میں لے گیا تاکہ ابلیس سے آزمایا جائے .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,1.35,Hallucination / Over-generation,15,29
7,then the devil taketh him up into the holy city and setteth him on a pinnacle of the temple,تب ابلیس اسے مقدّس شہر میں لے گیا اور ہیکل کے کنگرے پر کھڑا کرکے اس سے کہا کہ,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,3.42,Minor Errors,19,22
8,rejoice and be exceeding glad for great is your reward in heaven for so persecuted they the prophets which were before you,خوشی کرنا اور نہایت شادمان ہونا کیونکہ آسمان پر تمہارا اجر بڑا ہے اس لئے کے لوگوں نے ان نبیوں کو بھی جو تم سے پہلے تھے اسی طرح ستایا تھا .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,2.36,Minor Errors,32,22
9,let your light so shine before men that they may see your good works and glorify your father which is in heaven,اسی طرح تمہاری روشنی آدمیوں کے سامنے چمکے تاکہ وہ تمہارے نیک کاموں کو دیکھ کر تمہارے باپ کی جو آسمان پر ہے تمجید کریں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,1.19,Semantic Mismatch,26,22
