eng_clean,urdu_clean
the book of the generation of jesus christ the son of david the son of abraham,یسوع مسیح ابن داود ابن ابرہام کا نسب نامہ
abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,ابراہام سے اضحاق پیدا ہوا اور اضحاق سے یعقوب پیدا ہوا اور یعقوب سے یہوداہ اور اس کے بھائی پیدا ہوئے .
and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,اور یہوداہ سے فارص اور زارح تمر سے پیدا ہوئے اور فارص سے حصرون پیدا ہوا اور حصرون سے رام پیدا ہوا .
and aram begat aminadab and aminadab begat naasson and naasson begat salmon,اور رام سے عمینداب پیدا ہوا اور عمینداب سے نحسون پیدا ہوا اور نحسون سے سلمون پیدا ہوا .
and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,اور سلمون سے بوعز راحب سے پیدا ہوا اور بوعز سے عوبید روت سے پیدا ہوا اور عوبید سے یسّی پیدا ہوا .
and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,اور یسّی سے داود بادشاہ پیدا ہوا . اور داود سے سلیمان اس عورت سے پیدا ہوا جو پہلے اوریاہ کی بیوی تھی .
and solomon begat roboam and roboam begat abia and abia begat asa,اور سلیمان سے رحبعام پیدا ہوا اور رحبعام سے ابیاہ پیدا ہوا اور ابیاہ سے آسا پیدا ہوا .
and asa begat josaphat and josaphat begat joram and joram begat ozias,اور آسا سے یہوسفط پیدا ہوا اور یہوسفط سے یورام پیدا ہوا اور یورام سے عزّیاہ پیدا ہوا .
and ozias begat joatham and joatham begat achaz and achaz begat ezekias,اور عزّیاہ سے یوتام پیدا ہوا اور یوتام سے آخز پیدا ہوا اور آخز سےحزقیاہ پیدا ہوا .
and ezekias begat manasses and manasses begat amon and amon begat josias,اور حزقیا سے منسّی پیدا ہوا اور منسّی سے امون پیدا ہوا اور امون سے یوسیاہ پیدا ہوا .
and josias begat jechonias and his brethren about the time they were carried away to babylon,اور گرفتار ہوکر بابل جانے کے زمانے میں یوسیاہ سے یکونیاہ اور اس کے بھائی پیدا ہوئے .
and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,اور گرفتار ہوکر بابل جانے کے بعد یکونیاہ سے سیالتی ایل پیدا ہوا اور سیالتی ایل سے زربّابل پیدا ہوا .
and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,اور زربّابل سے ابیہود پیدا ہوا اور ابیہود سے الیاقیم پیدا ہوا اور الیاقیم سے عازور پیدا ہوا .
and azor begat sadoc and sadoc begat achim and achim begat eliud,اور عازور سے صدوق پیدا ہوا اور صدوق سے اخیم پیدا ہوا اور اخیم سے الیہود پیدا ہوا .
and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,اور الیہود سے الیعزر پیدا ہوا اور الیعزر سے متّان پیدا ہوا اور متّان سے یعقوب پیدا ہوا .
and jacob begat joseph the husband of mary of whom was born jesus who is called christ,اور یعقوب سے یوسف پیدا ہوا . یہ اس مریم کا شوہر تھا جس سے یسوع پیدا ہوا جو مسیح کہلاتا ہے .
so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,پس سب پشتیں ابرہام سے داود تک چودہ پشتیں ہوئیں اور داود سے لے کر گرفتار ہوکر بابل جانے تک چودہ پشتیں اور گرفتار ہوکر بابل جانے سے لے کر مسیح تک چودہ پشتیں ہوئیں .
now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,اب یسوع مسیح کی پیدایش اس طرح ہوئی کہ جب اس کی ماں مریم کی منگنی یوسف کے ساتھ ہو گئی تو ان کے اکٹھّے ہونے سے پہلے وہ روح القدس کی قدرت سے حاملہ پائی گئی .
