rank,tag,source,reference,greedy_pred,beam_pred,sent_bleu
1,GOOD,he answered and said unto them when it is evening ye say it will be fair weather for the sky is red,اس نے جواب میں ان سے کہا کہ شام کو تم کہتے ہو کہ کھلا رہے گا کیونکہ آسمان لال ہے .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,29.45
2,GOOD,when jesus heard it he marvelled and said to them that followed verily i say unto you i have not found so great faith no not in israel,یسوع نے یہ سنکر تعّجب کیا اور پیچے آنے والوں سے کہا میں تم سے سچ کہتا ہوں کہ میں نے اسرائیل میں بھی ایسا ایمان نہیں پایا .,پس جب وہ کفرنحوم میں آئے تو اس نے اپنے شاگردوں سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کوئی خدا سے محبّت رکھتا ہے وہ خدا کی بادشاہی میں داخل ہونا ضرور ہے .,29.0
3,GOOD,and as they sat and did eat jesus said verily i say unto you one of you which eateth with me shall betray me,اور جب وہ بیٹھے کھارہے تھے تو یسوع نے کہا میں تم سے سچ کہتا ہوں کہ تم میں سے ایک جو میرے ساتھ کھاتا ہے مجھے پکڑوائے گا .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,25.01
4,GOOD,jesus answered them and said verily verily i say unto you ye seek me not because ye saw the miracles but because ye did eat of the loaves and were filled,یسوع نے ان کے جواب میں کہا میں تم سے سچ کہتا ہوں کہ تم مجھے اس لئے نہیں ڈھونڑتے کہ معجزے دیکھے بلکہ اس لئے کہ تم روٹیاں کھا کر سیر ہوئے .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,21.93
5,GOOD,whether of them twain did the will of his father they say unto him the first jesus saith unto them verily i say unto you that the publicans and the harlots go into the kingdom of god before you,ان دونوں میں سے کون اپنے باپ کی مرضی بجا لایا انہوں نے کہا پہلا . یسوع نے ان سے کہا میں تم سے سچ کہتا ہوں کہ محصول لینے والے اور کسبیاں تم سے پہلے خدا کی بادشاہی میں داخل ہوتی ہیں .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,17.21
6,POOR,but why dost thou judge thy brother or why dost thou set at nought thy brother for we shall all stand before the judgment seat of christ,مگر تو اپنے بھائی پر کس لئے الزام لگاتا ہے یا تو بھی کس لئے اپنے بھائی کو حقیر جانتا ہے ہم تو سب خدا کے تخت عدالت کے آگے کھڑے ہونگے .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.73
7,POOR,but whosoever drinketh of the water that i shall give him shall never thirst but the water that i shall give him shall be in him a well of water springing up into everlasting life,مگر جو کوئی اس پانی میں سے پئے گا جو میں اس دونگا وہ ابد تک پیاسا نہ ہوگا بلکہ جو پانی میں اسے دونگا وہ اس میں ایک چشمہ بن جائے گا جو ہمیشہ کی زندگی کے لئے جاری رہے گا .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.73
8,POOR,the baptism of john whence was it from heaven or of men and they reasoned with themselves saying if we shall say from heaven he will say unto us why did ye not then believe him,یوحنّا کا بپتسمہ کہاں سے تھا آسمان کی طرف سے یا انسان کی طرف سے وہ آپس میں صلاح کرنے لگے کہ اگر ہم کہیں آسمان کی طرف سے تو وہ ہم سے کہے گا پھر تم نے کیوں اس کا یقین نہ کیا,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.72
9,POOR,for john came unto you in the way of righteousness and ye believed him not but the publicans and the harlots believed him and ye when ye had seen it repented not afterward that ye might believe him,کیونکہ یوحنّا راستبازی کے طریق پر تمہارے پاس آیا اور تم نے اس کا یقین نہ کیا مگر محصول لینے والوں اور کسبیوں نے اس کا یقین کیا اور تم یہ دیکھ کر پیچھے بھی نہ پچھتائے کہ اس کا یقین کر لیتے .,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.69
10,POOR,and they asked him saying master we know that thou sayest and teachest rightly neither acceptest thou the person of any but teachest the way of god truly,ہمیں قیصر کو خراج دینا روا ہے یا نہیں,اور وہ اس کے ساتھ کھانا کھانے بیٹھا تھا اور اس نے ان سے کہا کہ لومڑیوں کے بھٹ ہوتے ہیں .,اس نے جواب میں ان سے کہا میں تم سے سچ کہتا ہوں کہ جو کچھ تم سنتے ہو جاتے ہیں .,0.0
